method,dist,n1,n2,rho1,rho2,fz_nosim,fz
pearson,normal,15,30,0.6,0.5,0.061128397,0.07
pearson,normal,15,30,0.6,0.6,0.025,0.056
pearson,normal,15,30,0.6,0.7,0.072420187,0.068
pearson,normal,15,30,0.6,0.8,0.214387637,0.199
pearson,normal,15,30,0.6,0.9,0.612392966,0.602
pearson,normal,15,30,0.7,0,0.705353965,0.702
pearson,normal,15,30,0.7,0.1,0.598963417,0.644
pearson,normal,15,30,0.7,0.2,0.482262804,0.519
pearson,normal,15,30,0.7,0.3,0.362318547,0.41
pearson,normal,15,30,0.7,0.4,0.247864888,0.261
pearson,normal,15,30,0.7,0.5,0.148380004,0.151
pearson,normal,15,30,0.7,0.6,0.072420187,0.076
pearson,normal,15,30,0.7,0.7,0.025,0.047
pearson,normal,15,30,0.7,0.8,0.097961866,0.093
pearson,normal,15,30,0.7,0.9,0.414337217,0.408
pearson,normal,15,30,0.8,0,0.88620181,0.891
pearson,normal,15,30,0.8,0.1,0.820527282,0.842
pearson,normal,15,30,0.8,0.2,0.73310673,0.746
pearson,normal,15,30,0.8,0.3,0.623407775,0.657
pearson,normal,15,30,0.8,0.4,0.494210542,0.525
pearson,normal,15,30,0.8,0.5,0.353200078,0.372
pearson,normal,15,30,0.8,0.6,0.214387637,0.206
pearson,normal,15,30,0.8,0.7,0.097961866,0.102
pearson,normal,15,30,0.8,0.8,0.025,0.045
pearson,normal,15,30,0.8,0.9,0.188587497,0.172
pearson,normal,15,30,0.9,0,0.988797304,0.987
pearson,normal,15,30,0.9,0.1,0.976936372,0.983
pearson,normal,15,30,0.9,0.2,0.955348585,0.978
pearson,normal,15,30,0.9,0.3,0.917931818,0.932
pearson,normal,15,30,0.9,0.4,0.855958874,0.861
pearson,normal,15,30,0.9,0.5,0.758084869,0.78
pearson,normal,15,30,0.9,0.6,0.612392966,0.622
pearson,normal,15,30,0.9,0.7,0.414337217,0.433
pearson,normal,15,30,0.9,0.8,0.188587497,0.187
pearson,normal,15,30,0.9,0.9,0.025,0.047
pearson,normal,15,60,0,0,0.025,0.051
pearson,normal,15,60,0,0.1,0.050082082,0.074
pearson,normal,15,60,0,0.2,0.09314056,0.096
pearson,normal,15,60,0,0.3,0.162203518,0.175
pearson,normal,15,60,0,0.4,0.265622735,0.258
pearson,normal,15,60,0,0.5,0.408861595,0.396
pearson,normal,15,60,0,0.6,0.588002227,0.597
pearson,normal,15,60,0,0.7,0.779566661,0.789
pearson,normal,15,60,0,0.8,0.933065165,0.924
pearson,normal,15,60,0,0.9,0.996267069,0.996
pearson,normal,15,60,0.1,0,0.050082082,0.073
pearson,normal,15,60,0.1,0.1,0.025,0.047
pearson,normal,15,60,0.1,0.2,0.050756076,0.055
pearson,normal,15,60,0.1,0.3,0.096569743,0.101
pearson,normal,15,60,0.1,0.4,0.173093345,0.174
pearson,normal,15,60,0.1,0.5,0.292402358,0.294
pearson,normal,15,60,0.1,0.6,0.462754464,0.464
pearson,normal,15,60,0.1,0.7,0.675382362,0.674
pearson,normal,15,60,0.1,0.8,0.881617138,0.879
pearson,normal,15,60,0.1,0.9,0.990848023,0.987
pearson,normal,15,60,0.2,0,0.09314056,0.106
pearson,normal,15,60,0.2,0.1,0.050756076,0.065
pearson,normal,15,60,0.2,0.2,0.025,0.055
pearson,normal,15,60,0.2,0.3,0.05221511,0.078
pearson,normal,15,60,0.2,0.4,0.103041617,0.097
pearson,normal,15,60,0.2,0.5,0.192484416,0.177
pearson,normal,15,60,0.2,0.6,0.338743706,0.336
pearson,normal,15,60,0.2,0.7,0.55267686,0.572
pearson,normal,15,60,0.2,0.8,0.80530169,0.815
pearson,normal,15,60,0.2,0.9,0.979175674,0.982
pearson,normal,15,60,0.3,0,0.162203518,0.162
pearson,normal,15,60,0.3,0.1,0.096569743,0.102
pearson,normal,15,60,0.3,0.2,0.05221511,0.069
pearson,normal,15,60,0.3,0.3,0.025,0.062
pearson,normal,15,60,0.3,0.4,0.054729673,0.065
pearson,normal,15,60,0.3,0.5,0.114102346,0.11
pearson,normal,15,60,0.3,0.6,0.225991525,0.247
pearson,normal,15,60,0.3,0.7,0.419258208,0.394
pearson,normal,15,60,0.3,0.8,0.700032237,0.662
pearson,normal,15,60,0.3,0.9,0.955509254,0.956
pearson,normal,15,60,0.4,0,0.265622735,0.275
